[ESP=00:34:23.948] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.005859375, acc_y: 0.07373046875, acc_z: 1.01708984375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:23.968] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:23.988] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07373046875, acc_z: 1.01806640625, gyro_x: 0.4878048896789551, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.008] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00390625, acc_y: 0.07177734375, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:34:24.028] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:24.048] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.068] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00537109375, acc_y: 0.0751953125, acc_z: 1.01708984375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.088] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.108] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00390625, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.128] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:24.148] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00439453125, acc_y: 0.07177734375, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.3048780560493469}
[ESP=00:34:24.168] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.188] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.07373046875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:24.208] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.521739959716797, acc_x: -0.00439453125, acc_y: 0.07275390625, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:24.228] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:24.248] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.521739959716797, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:34:24.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.55193328857422, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.0166015625, gyro_x: 0.5487805008888245, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:34:24.309] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.55193328857422, acc_x: -0.00439453125, acc_y: 0.07470703125, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.311] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.55193328857422, acc_x: -0.00439453125, acc_y: 0.07470703125, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.319] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 28.149999618530273, pressure_hpa: 954.9600219726562}
[ESP=00:34:24.328] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.536836624145508, acc_x: -0.00634765625, acc_y: 0.07275390625, acc_z: 1.01904296875, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:34:24.348] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.521739959716797, acc_x: -0.00537109375, acc_y: 0.072265625, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.367] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00390625, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:24.381] [Pacifier] topic=Pacifier/0_1/airflow, pacifier=1, type=airflow, values={temp_l: 30.60040283203125, temp_r: 31.215789794921875, temp_e: 28.028167724609375}
[ESP=00:34:24.392] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07275390625, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.408] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.427] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.005859375, acc_y: 0.07373046875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.449] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00390625, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:24.468] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07275390625, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:24.488] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:24.508] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07470703125, acc_z: 1.0166015625, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:34:24.528] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.548] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.18292683362960815}
[ESP=00:34:24.568] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.0712890625, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.588] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07177734375, acc_z: 1.017578125, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.608] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.3658536672592163}
[ESP=00:34:24.628] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00390625, acc_y: 0.07373046875, acc_z: 1.0166015625, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:34:24.648] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00439453125, acc_y: 0.07373046875, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00537109375, acc_y: 0.072265625, acc_z: 1.01708984375, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:24.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07421875, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.708] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:24.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00390625, acc_y: 0.07470703125, acc_z: 1.0185546875, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07275390625, acc_z: 1.0166015625, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:24.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.788] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:24.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:24.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.07421875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:34:24.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00537109375, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:24.868] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00537109375, acc_y: 0.07470703125, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.888] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.0048828125, acc_y: 0.07373046875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:24.908] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.928] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.01611328125, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:24.948] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.0751953125, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.968] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07177734375, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:24.988] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.072265625, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:25.008] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00439453125, acc_y: 0.0732421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:25.028] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00537109375, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.18292683362960815}
[ESP=00:34:25.048] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.005859375, acc_y: 0.07421875, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
