[ESP=00:05:52.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.02099609375, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:52.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05615234375, acc_y: 0.02001953125, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:52.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02294921875, acc_z: 1.01904296875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:52.788] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.81944465637207, acc_x: 0.05810546875, acc_y: 0.0244140625, acc_z: 1.01611328125, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:52.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.81944465637207, acc_x: 0.05859375, acc_y: 0.02197265625, acc_z: 1.0166015625, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:05:52.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.81944465637207, acc_x: 0.056640625, acc_y: 0.02197265625, acc_z: 1.017578125, gyro_x: 0.5487805008888245, gyro_y: 0.3658536672592163, gyro_z: 0.18292683362960815}
[ESP=00:05:52.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.81944465637207, acc_x: 0.05615234375, acc_y: 0.021484375, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:52.868] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05615234375, acc_y: 0.021484375, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:05:52.888] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.056640625, acc_y: 0.021484375, acc_z: 1.0185546875, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:52.908] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05615234375, acc_y: 0.021484375, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:05:52.928] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.02294921875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:52.948] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05712890625, acc_y: 0.02197265625, acc_z: 1.01708984375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:05:52.968] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.0224609375, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:52.988] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05810546875, acc_y: 0.02392578125, acc_z: 1.015625, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:05:53.008] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02294921875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.028] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.864734649658203, acc_x: 0.056640625, acc_y: 0.0224609375, acc_z: 1.01611328125, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.048] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05810546875, acc_y: 0.02392578125, acc_z: 1.0185546875, gyro_x: 0.5487805008888245, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:05:53.068] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.05615234375, acc_y: 0.0224609375, acc_z: 1.017578125, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:05:53.088] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.0224609375, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:05:53.108] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.02099609375, acc_z: 1.0185546875, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:05:53.128] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.02197265625, acc_z: 1.01806640625, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.3048780560493469}
[ESP=00:05:53.148] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.056640625, acc_y: 0.021484375, acc_z: 1.017578125, gyro_x: 0.5487805008888245, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:05:53.168] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.056640625, acc_y: 0.02197265625, acc_z: 1.017578125, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.188] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.0205078125, acc_z: 1.013671875, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.208] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.0576171875, acc_y: 0.02197265625, acc_z: 1.01708984375, gyro_x: 0.4878048896789551, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.228] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.02294921875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.248] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.0224609375, acc_z: 1.01708984375, gyro_x: 0.8536585569381714, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05712890625, acc_y: 0.02197265625, acc_z: 1.01513671875, gyro_x: 0.7317073345184326, gyro_y: 0.5487805008888245, gyro_z: 0.24390244483947754}
[ESP=00:05:53.299] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05615234375, acc_y: 0.02392578125, acc_z: 1.0146484375, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.319] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.021484375, acc_z: 1.01806640625, gyro_x: 0.9146341681480408, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.329] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 26.739999771118164, pressure_hpa: 955.6500244140625}
[ESP=00:05:53.332] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.0576171875, acc_y: 0.0234375, acc_z: 1.017578125, gyro_x: 0.8536585569381714, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:05:53.348] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.849637985229492, acc_x: 0.056640625, acc_y: 0.01953125, acc_z: 1.0224609375, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.367] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.056640625, acc_y: 0.021484375, acc_z: 1.02197265625, gyro_x: 0.9756097793579102, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:05:53.378] [Pacifier] topic=Pacifier/0_1/airflow, pacifier=1, type=airflow, values={temp_l: 28.107666015625, temp_r: 28.4761962890625, temp_e: 26.795684814453125}
[ESP=00:05:53.391] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.83454132080078, acc_x: 0.05712890625, acc_y: 0.02099609375, acc_z: 1.02099609375, gyro_x: 0.792682945728302, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
